carrier,1(a),1(b),2(a),2(b),2(c),total_involuntary,involuntary_compensated,total_voluntary,6(a),6(b),total_boardings,involuntary_alt_trans,involuntary_no_alt_trans,voluntary_comp
Alaska Airlines,0,176,0,27,62,265,176,"1,597",44,23,"6,059,214",$0 ,"$297,984 ",$0 
American Airlines,129,879,0,743,49,"1,800","1,751","12,217",501,494,"34,214,085","$41,385 ","$771,058 ",$0 
Delta Airlines,9,234,4,46,9,302,243,"31,642","21,925","26,618","33,838,031","$4,696 ","$271,782 ","$7,100 "
ExpressJet,38,561,17,222,9,847,823,"8,087","3,546","1,730","5,498,667","$18,690 ","$473,685 ",$0 
Frontier Airlines,10,176,3,59,26,274,61,842,0,0,"3,614,118","$3,894 ","$29,580 ","$4,258 "
Hawaiian Airlines,18,0,0,0,0,18,0,59,0,0,"2,700,783","$10,430 ",$0 ,"$2,950 "
JetBlue Airways,0,1,0,798,0,799,1,298,0,48,"8,795,633",$0 ,"$1,350 ","$109,199 "
SkyWest Airlines,30,500,23,148,13,714,632,"10,391","4,892","1,656","7,755,643","$13,859 ","$363,153 ",$0 
Southwest Airlines,"2,045",753,0,0,"1,411","4,209","2,798","26,987",0,0,"39,198,316","$1,797,853 ","$697,735 ",$0 
Spirit Airlines,1,691,0,"1,249","273,680",692,692,"6,696",0,133,"5,005,877",$160 ,"$432,594 ",$0 
United Airlines,25,417,52,350,27,871,824,"16,939","8,370","2,613","22,035,418","$13,572 ","$440,014 ",$0
Virgin America,16,0,0,0,0,16,16,389,13,0,"2,050,950","$18,232 ",$0 ,"$153,228 "
