carrier,1(a),1(b),2(a),2(b),2(c),total_involuntary,involuntary_compensated,total_voluntary,6(a),6(b),total_boardings,involuntary_alt_trans,involuntary_no_alt_trans,voluntary_comp
Alaska Airlines,0,140,0,4,41,185,140,"1,627",62,8,"6,321,507",$0 ,"$228,906 ",$0 
American Airlines,179,"1,298",0,652,27,"2,156","2,129","15,470",771,843,"33,773,358","$49,190 ","$1,211,835 ",$0 
Delta Airlines,12,218,2,68,6,306,230,"33,387","25,493","32,208","33,949,408","$6,584 ","$258,501 ",$0
ExpressJet,46,710,19,154,8,937,900,"9,180","4,267","1,885","5,445,840","$16,959 ","$622,663 ",$0 
Frontier Airlines,4,91,1,122,35,253,60,425,0,0,"4,129,349","$2,150 ","$33,174 ","$4,059 "
Hawaiian Airlines,10,0,0,0,0,10,0,104,0,0,"2,854,932","$3,179 ",$0 ,"$7,500 "
JetBlue Airways,5,12,0,"1,295",1,"1,313",17,480,1,7,"8,951,162","$6,750 ","$16,200 ","$212,402 "
SkyWest Airlines,24,584,11,124,11,754,734,"10,868","7,562","1,562","7,961,031","$10,582 ","$394,304 ",$0 
Southwest Airlines,"2,158","1,132",0,0,"1,292","4,582","3,290","24,247",0,0,"38,561,412","$1,794,329 ","$990,799 ",$0 
Spirit Airlines,1,180,0,166,"272,510",181,181,"1,411",0,48,"5,053,081",$492 ,"$96,091 ",$0 
United Airlines,26,464,37,518,29,"1,074","1,031","15,880","12,562","2,746","23,436,935","$10,346 ","$593,006 ",$0
Virgin America,31,0,0,0,0,31,31,948,109,1,"2,137,471","$24,803 ",$0 ,"$409,781 "
