carrier,1(a),1(b),2(a),2(b),2(c),total_involuntary,involuntary_compensated,total_voluntary,6(a),6(b),total_boardings,involuntary_alt_trans,involuntary_no_alt_trans,voluntary_comp
Alaska Airlines,0,102,0,16,79,197,102,"1,600",37,170,"5,665,703",$0 ,"$202,080 ",$0 
American Airlines,111,854,0,727,22,"1,714","1,692","11,806",299,"1,265","31,546,560","$32,476 ","$1,092,284 ",$0 
Delta Airlines,15,255,2,44,10,326,270,"36,471","16,451","29,673","32,044,038","$8,494 ","$296,986 ",$0
ExpressJet,34,554,12,36,5,641,622,"8,615","3,313","1,757","5,019,172","$12,958 ","$454,151 ","$1,350 "
Frontier Airlines,2,110,0,36,15,163,59,450,0,0,"3,771,280","$1,326 ","$46,243 ","$1,892 "
Hawaiian Airlines,19,0,0,0,0,19,0,126,0,0,"2,669,657","$10,896 ",$0 ,"$12,185 "
JetBlue Airways,0,8,0,"1,028",0,"1,036",8,439,0,86,"8,719,175",$0 ,"$10,950 ","$197,966 "
SkyWest Airlines,43,540,37,126,12,758,709,"10,680","5,513","1,576","7,411,535","$20,415 ","$350,807 ",$0 
Southwest Airlines,"1,511",462,0,0,"1,099","3,072","1,973","19,116",0,0,"38,502,306","$1,334,335 ","$373,531 ",$0 
Spirit Airlines,0,121,0,71,"303,960",121,121,"1,113",0,97,"4,850,101",$0 ,"$79,197 ",$0 
United Airlines,22,545,19,296,9,891,866,"15,696","5,463","2,865","22,398,395","$6,894 ","$489,146 ",$0
Virgin America,15,0,1,0,1,17,16,611,29,2,"2,017,391","$15,199 ",$0 ,"$271,828 "
